categoria,pregunta,respuesta,tag,revisado
Lactancia,¿Qué hago si mi bebé rechaza el pecho?,"Ofrecer cuando esté tranquilo o medio dormido, revisar agarre, evitar forzar y buscar apoyo de asesora de lactancia si el rechazo continúa.",lactancia;rechazo;teta,si
Lactancia,¿Es normal que el bebé quiera estar pegado al pecho todo el día?,"Puede pasar por brotes de crecimiento, necesidad de consuelo o aumento de demanda. Si moja pañales, sube de peso y está activo, suele ser una etapa; si hay dolor o dudas, revisar agarre y control pediátrico.",lactancia;brote;demanda,si
Lactancia,¿Cómo aumento la producción de leche?,"Lo que más estimula es la extracción frecuente o el bebé al pecho. Ayudan hidratación, descanso posible, buen agarre, masajes suaves y extracción en horarios de mayor producción.",lactancia;produccion;extraccion,si
Lactancia,¿Las galletas de lactancia aumentan la producción?,"Algunas mamás sienten que les ayudan, pero no reemplazan la estimulación. Se pueden usar como apoyo, no como solución única.",lactancia;galletas;produccion,si
Lactancia,¿Cuál es el mejor horario para extraer leche?,"Muchas mamás notan mejor producción entre la madrugada y la mañana, especialmente entre 3:00 a.m. y 6:00 a.m., pero depende de cada cuerpo y rutina.",lactancia;extraccion;prolactina,si
Lactancia,¿Más potencia en el extractor significa más leche?,No necesariamente. La succión debe ser cómoda; demasiada potencia puede lastimar y dificultar la bajada. Conviene iniciar con estimulación y luego extracción.,lactancia;extractor;succion,si
Lactancia,¿Qué hago si tengo el seno duro o con una bolita?,"Poner al bebé al pecho, masajear suavemente, usar frío si hay inflamación y vigilar fiebre, enrojecimiento o dolor fuerte. Si aparecen esos signos, consultar.",lactancia;seno;cargado;obstruccion,si
Lactancia,¿Puedo lactar si tengo gripa o virus?,"En muchos casos sí, e incluso la leche puede aportar anticuerpos. Usar tapabocas, higiene de manos y consultar si se toman medicamentos o hay síntomas fuertes.",lactancia;gripa;virus,si
Lactancia,¿Puedo lactar si tengo malestar estomacal?,"Usualmente sí, manteniendo hidratación. Si se requiere medicamento, revisar compatibilidad y consultar médico.",lactancia;malestar;gastrointestinal,si
Lactancia,¿Qué hago si mi pezón está agrietado o lastimado?,"Revisar agarre, alternar posiciones, usar leche materna o producto indicado, dejar ventilar y, si el dolor es fuerte, pedir apoyo de asesora. Algunas mamás descansan uno o dos días dando leche extraída.",lactancia;pezon;grietas,si
Lactancia,¿Es normal sentir culpa por querer destetar?,"Sí, muchas mamás sienten culpa. Destetar no significa fallar; también importa la salud física y emocional de la mamá.",destete;culpa;lactancia,si
Lactancia,¿Cómo empezar destete nocturno?,"Hacerlo de forma gradual si se puede, apoyarse en otra persona, ofrecer consuelo alternativo, mantener rutina de sueño y entender que puede haber llanto y adaptación.",destete;nocturno;sueño,si
Lactancia,¿Qué hago si me quedé sin banco de leche?,"Priorizar lo disponible, extraer según rutina posible y considerar lactancia mixta si el pediatra lo recomienda. Lo importante es que el bebé esté alimentado y la mamá esté bien.",banco de leche;lactancia;formula,si
Lactancia,¿La lactancia mixta está bien?,"Sí. Lactancia materna, fórmula o mixta pueden ser válidas si el bebé está alimentado, crece y la mamá está bien.",lactancia mixta;formula;teta,si
Lactancia,¿La fórmula puede hacer que el bebé rechace el pecho?,"Puede pasar si el flujo del tetero es más fácil, pero no siempre. Ayuda usar tetero amable, flujo lento y seguir ofreciendo pecho sin presión.",formula;tetero;lactancia,si
Lactancia,¿Qué es tetero amable o método Kassing?,"Es dar tetero de forma pausada: bebé semi sentado, tetero más horizontal, flujo lento y pausas. Busca evitar que tome demasiado rápido.",tetero amable;kassing;lactancia mixta,si
Lactancia,¿Cuántas onzas de leche materna toma un bebé pequeño en tetero?,"No hay una cantidad fija. Conviene ofrecer poco a poco, hacer pausas y observar señales de hambre y saciedad.",leche materna;tetero;onzas,si
Lactancia,¿Qué hago si mi bebé se ahoga o tose tomando pecho?,"Puede ser bajada fuerte o flujo rápido. Probar posición reclinada, pausas y observar. Si se pone morado, se ahoga mucho o hay dificultad respiratoria, consultar.",lactancia;bajada fuerte;ahogo,si
Lactancia,¿Puedo tomar medicamentos durante lactancia?,"Depende del medicamento. Revisar fuentes confiables como e-lactancia y confirmar con médico, especialmente si el bebé es pequeño o prematuro.",lactancia;medicamentos;e-lactancia,si
Fórmula y lactancia mixta,¿Cómo saber si una fórmula le cae bien al bebé?,"Observar popó, gases, vómitos, brotes, irritabilidad, peso y tolerancia general. Si hay síntomas persistentes, consultar pediatra antes de cambiar varias veces.",formula;tolerancia;digestión,si
Fórmula y lactancia mixta,¿Es normal que la popó cambie al iniciar fórmula?,"Sí, puede cambiar color, olor, textura y frecuencia. Preocupa si hay sangre, diarrea intensa, estreñimiento fuerte, fiebre o decaimiento.",formula;popo;lactancia mixta,si
Fórmula y lactancia mixta,¿Qué hago si el bebé no quiere el tetero?,"Probar otra tetina, otra temperatura, otra persona ofreciendo, momento de sueño ligero y no forzar. Algunos bebés tardan en aceptar.",tetero;rechazo;formula,si
Fórmula y lactancia mixta,¿Cómo evitar que el bebé tome muy rápido el tetero?,"Usar tetina de flujo lento, hacer pausas, sostenerlo semi sentado y no inclinar demasiado el tetero.",tetero;flujo lento;gases,si
Fórmula y lactancia mixta,¿La fórmula confort sirve para gases o digestión?,"Puede ayudar en algunos bebés, pero la indicación debe venir del pediatra según síntomas, peso y tolerancia.",formula confort;gases;pediatra,si
Fórmula y lactancia mixta,¿Qué hago si me da culpa complementar con fórmula?,Recordar que alimentar al bebé es prioridad. La fórmula puede ser una herramienta cuando se necesita y no define la calidad de la maternidad.,formula;culpa;lactancia mixta,si
Sueño,¿Qué hago si mi bebé no se duerme y ya estoy agotada?,"Revisar hambre, pañal, gases, temperatura, sueño acumulado y estimulación. Mantener ambiente oscuro y tranquilo. Si nada funciona, pedir apoyo y priorizar descanso seguro.",sueño;agotamiento;rutina,si
Sueño,¿Es normal que un recién nacido haga ruidos dormido?,"Sí, muchos hacen sonidos, se mueven, pujan o parecen inquietos por sueño activo. Si respira bien y no se ve mal, no siempre hay que despertarlo.",sueño activo;recién nacido;ruidos,si
Sueño,¿Cuánto puede dormir seguido un bebé de 2 meses?,"Depende del peso, salud y recomendación del pediatra. Si recuperó peso, moja pañales y crece bien, algunos pueden dormir tramos más largos.",sueño;2 meses;peso,si
Sueño,¿La regresión de los 4 meses afecta las siestas?,"Sí, puede afectar noches y siestas. Puede haber despertares, siestas más cortas o dificultad para dormirse.",regresión;sueño;siestas,si
Sueño,¿Qué hago si mi bebé solo duerme en brazos?,"Es común en bebés pequeños. Se puede intentar transición gradual a cuna, pero también priorizar descanso y seguridad sin culparse.",siestas;brazos;sueño,si
Sueño,¿Qué hacer si mi bebé se voltea boca abajo dormido?,"Si ya sabe girarse solo, mantener cuna segura, sin almohadas ni objetos sueltos. Consultar pediatra si hay dudas por edad o desarrollo.",sueño;boca abajo;cuna segura,si
Sueño,¿El chupo puede ayudar a dormir?,"A muchas familias les ayuda, pero también puede convertirse en asociación. Usarlo en momentos puntuales y revisar edad, seguridad e higiene.",chupo;sueño;asociación,si
Sueño,¿Qué asociaciones de sueño son difíciles de quitar?,"Teta, brazos, chupo, movimiento y cama pueden volverse asociaciones. No son malas por sí mismas, pero conviene saber que luego pueden requerir transición.",sueño;asociaciones;rutina,si
Sueño,¿Qué hago si mi bebé se despierta muchas veces en la noche?,"Revisar hambre, temperatura, pañal, dientes, enfermedad, regresión o necesidad de contacto. Si está sano, suele ser etapa; buscar apoyo si la mamá está agotada.",despertares;sueño;noche,si
Sueño,¿Colecho está bien?,"Muchas familias lo usan para sobrevivir al cansancio. Debe hacerse siguiendo prácticas de sueño seguro y evitando riesgos como almohadas, cobijas sueltas o adultos con sueño pesado/medicación.",colecho;sueño seguro;cansancio,si
Sueño,¿Sirven las asesorías o entrenamientos de sueño?,"A algunas familias les funcionan mucho y a otras no les encajan. Depende del método, tolerancia al llanto, edad del bebé y estilo de crianza.",asesoría de sueño;neosleep;rutina,si
Sueño,¿Cómo vestir al bebé para dormir con aire acondicionado?,"Depende de la temperatura real. Observar nuca, sudor o frío. Usar pijamas frescas o sleeping sack según clima y evitar sobreabrigar.",temperatura;sleeping sack;pijama,si
Alimentación complementaria,¿Cuándo iniciar alimentación complementaria?,"Generalmente alrededor de los 6 meses si el bebé muestra señales de preparación, aunque algunos pediatras indican antes en casos específicos. Confirmar con pediatra.",alimentación complementaria;inicio;6 meses,si
Alimentación complementaria,¿Qué señales indican que mi bebé está listo para comer?,"Buen control de cabeza, interés por la comida, sentarse con apoyo, pérdida del reflejo de extrusión y autorización pediátrica.",alimentación complementaria;señales;inicio,si
Alimentación complementaria,¿Qué alimentos se pueden ofrecer al inicio?,"Se mencionan frutas, verduras, aguacate, papa, avena, huevo, pollo o pescado según orientación. Introducir de a poco y observar reacciones.",alimentación;primeros alimentos;bebé,si
Alimentación complementaria,¿Cómo ofrecer agua al iniciar alimentación complementaria?,"Ofrecer pequeñas cantidades en vaso abierto, vaso con pitillo o vaso de aprendizaje. Al inicio es normal que se riegue más de lo que toma.",agua;vaso;alimentación complementaria,si
Alimentación complementaria,¿Vaso con pitillo o vaso 360?,"Ambos pueden usarse, pero varias mamás prefieren pitillo o vaso abierto porque favorecen habilidades orales. Depende de la comodidad y edad del bebé.",vaso;pitillo;vaso 360,si
Alimentación complementaria,¿Qué utensilios necesito para iniciar alimentación complementaria?,"Silla segura, baberos, platos o recipientes, cucharas/pre-cucharas, vaso, buen jabón, alimentos frescos y paciencia.",utensilios;alimentación complementaria;silla,si
Alimentación complementaria,¿Qué silla de comer conviene comprar?,"Buscar seguridad, buen soporte, reposapiés, fácil limpieza y estabilidad. No necesariamente debe ser la más cara.",silla de comer;reposapiés;limpieza,si
Alimentación complementaria,¿Qué hacer si mi bebé rechaza la comida?,"Seguir ofreciendo sin forzar. Al inicio muchos bebés exploran, escupen o juegan. La exposición repetida ayuda.",rechazo;alimentación complementaria;BLW,si
Alimentación complementaria,¿Qué hacer si mi bebé se estriñe al empezar a comer?,"Ofrecer agua según edad, frutas como ciruela o papaya si ya las tolera, masajes y revisar con pediatra si hay dolor, sangre o heces muy duras.",estreñimiento;alimentación;ciruela,si
Alimentación complementaria,¿Cuánto tiempo puedo guardar una papilla con pollo?,"Mejor refrigerar poco tiempo y no dejar más de 24 horas. Si tuvo contacto con saliva, no guardarla por mucho tiempo. Congelar si no se usará pronto.",papilla;conservación;pollo,si
Alimentación complementaria,¿Las compotas comerciales son buenas?,"Pueden servir ocasionalmente, pero conviene revisar ingredientes, azúcar añadida y empaques. Preferir opciones simples o preparaciones caseras cuando se pueda.",compotas;azúcar;etiquetas,si
Alimentación complementaria,¿La silicona de platos y cucharas puede coger olor?,"Algunas mamás notan olor o sabor a jabón. Ayuda usar jabones suaves, enjuagar bien o considerar acero inoxidable/vidrio según edad y seguridad.",silicona;utensilios;olor,si
Alimentación complementaria,¿Qué hacer si el bebé no quiere proteína?,"Ofrecer en distintas preparaciones sin forzar. Puede tomar varios intentos aceptar pollo, carne o pescado. Vigilar peso y consultar si la ingesta es muy baja.",proteína;pollo;rechazo,si
"Gases, cólicos y reflujo",¿Qué hacer si mi bebé tiene gases?,"Sacar gases durante y después de la toma, hacer bicicleta, masajes suaves, revisar flujo del tetero y posición. Consultar si hay llanto inconsolable o vómitos fuertes.",gases;cólicos;bebé,si
"Gases, cólicos y reflujo",¿Cómo diferenciar reflujo normal de algo preocupante?,"Botar leche leve puede ser normal. Preocupa si hay vómito en proyectil, dolor fuerte, pérdida de peso, decaimiento o rechazo persistente de tomas.",reflujo;vómito;alarma,si
"Gases, cólicos y reflujo",¿Qué es disquecia del lactante?,"Es cuando el bebé puja, se pone rojo o llora para hacer popó, pero la popó sale blanda. Suele ser inmadurez y coordinación. Consultar si hay sangre, fiebre o heces duras.",disquecia;popó;pujo,si
"Gases, cólicos y reflujo",¿Qué hacer si el bebé vomita después del tetero?,"Puede haber tomado mucho o muy rápido. Ofrecer menos cantidad, hacer pausas, sacar gases y mantenerlo incorporado. Consultar si es frecuente o en proyectil.",vómito;tetero;reflujo,si
"Gases, cólicos y reflujo",¿Sirven los probióticos para gases?,"Algunas mamás usan probióticos como Biogaia con buena experiencia, pero debe validarse con pediatra según edad y síntomas.",probiótico;Biogaia;gases,si
APLV y alergias,¿Qué es APLV?,"Es alergia a la proteína de leche de vaca. Puede generar síntomas digestivos, piel, reflujo, sangre/moco en heces o irritabilidad, pero debe evaluarlo un profesional.",APLV;alergia;leche,si
APLV y alergias,¿Si sospecho APLV debo tomar leche deslactosada?,"No. La APLV se relaciona con proteína de leche, no solo lactosa. Los productos deslactosados pueden seguir teniendo proteína de leche.",APLV;deslactosado;proteína leche,si
APLV y alergias,¿Qué señales pueden sugerir APLV?,"Moco o sangre en popó, dermatitis, reflujo fuerte, cólicos intensos, irritación persistente o bajo peso. Confirmar con pediatra/gastro/alergólogo.",APLV;síntomas;alergia,si
APLV y alergias,¿Qué debo revisar en etiquetas si hay APLV?,"Ingredientes con leche, caseína, suero, proteína láctea y posibles trazas. Algunas familias también revisan soya según indicación médica.",APLV;etiquetas;trazas,si
APLV y alergias,¿Los productos veganos sirven para APLV?,"Pueden ayudar, pero igual hay que revisar etiquetas por trazas o ingredientes no aptos para el bebé o la mamá lactante.",APLV;vegano;etiquetas,si
Pañales y pañalitis,¿Qué pañales son parecidos a Pampers si busco suavidad?,"En el grupo mencionan Huggies Dermacare como alternativa suave. También comparan Winny y otros, pero depende de la piel y horma del bebé.",pañales;Pampers;Huggies Dermacare,si
Pañales y pañalitis,¿Cuándo cambiar de etapa de pañal?,"Cuando hay fugas, el pañal marca la piel, cuesta cerrarlo o no aguanta la noche. También revisar peso sugerido por la marca.",pañales;talla;fugas,si
Pañales y pañalitis,¿Qué hacer con la colita roja?,"Cambiar frecuente, limpiar suave, dejar airear y usar crema barrera. Si se expande, sangra, hay punticos o no mejora, consultar.",pañalitis;colita roja;crema,si
Pañales y pañalitis,¿Almipro sirve para pañalitis?,"Varias mamás la recomiendan para irritación, pero si hay sospecha de hongo o no mejora, debe revisarlo un médico.",Almipro;pañalitis;crema,si
Pañales y pañalitis,¿Desitin morada sirve para irritación fuerte?,Es mencionada como opción densa de barrera para irritación. Puede ser difícil de retirar y no siempre basta si hay hongo.,Desitin;pañalitis;barrera,si
Pañales y pañalitis,¿Cuándo usar nistatina con zinc?,Solo si fue indicada o recomendada por profesional para sospecha de hongo o brote específico. No usar medicada sin criterio.,nistatina;zinc;pañalitis,si
Pañales y pañalitis,¿Qué pañal puede irritar menos?,"Depende del bebé. Las mamás suelen probar marcas suaves, cambiar talla o cambiar línea si hay irritación. Lo importante es observar reacción de piel.",pañales;piel sensible;irritación,si
Salud del bebé,¿Qué hacer si mi bebé tiene fiebre?,"Controlar temperatura, mantener hidratación, observar estado general y consultar según edad, fiebre persistente, decaimiento o signos de alarma. No automedicar.",fiebre;bebé;alarma,si
Salud del bebé,¿Qué hacer si mi bebé tiene mocos o gripa?,"Lavados nasales con solución salina, mantener hidratación, observar respiración y consultar si hay fiebre persistente, dificultad respiratoria o decaimiento.",gripa;mocos;lavados nasales,si
Salud del bebé,¿Cuándo sirven las terapias respiratorias?,"Pueden ayudar cuando hay mucha flema, bronquiolitis o dificultad para expulsar secreciones, pero deben hacerse por indicación médica o profesional.",terapia respiratoria;flema;bronquiolitis,si
Salud del bebé,¿Qué signos de alarma respiratoria debo vigilar?,"Hundimiento de costillas, respiración rápida, labios morados, quejido, decaimiento, dificultad para comer o fiebre persistente. Consultar de inmediato.",respiración;signos de alarma;flema,si
Salud del bebé,¿Qué hacer si después de fiebre aparece brote?,"Puede ocurrir con virus como roseola, pero hay que observar estado general. Consultar si el brote preocupa, hay fiebre alta o el bebé está decaído.",roseola;brote;fiebre,si
Salud del bebé,¿Es normal el acné de recién nacido?,Puede ser normal y suele mejorar solo. Evitar aplicar muchos productos; limpiar suave y consultar si empeora o parece infección.,acné;recién nacido;piel,si
Salud del bebé,¿Qué hacer si la vacuna del recién nacido se inflama?,"Puede salir bolita o reacción local. Mantener limpio y observar. Consultar si hay calor, pus abundante, enrojecimiento fuerte o fiebre.",vacuna;recién nacido;BCG,si
Salud del bebé,¿Qué hacer si el bebé tiene reacción alérgica?,"Observar brote, hinchazón, respiración y estado general. Si hay dificultad respiratoria, hinchazón de cara o decaimiento, urgencias.",alergia;brote;urgencias,si
Salud del bebé,¿Qué es boca-mano-pie?,"Es una enfermedad viral común en niños que puede causar fiebre, lesiones en boca, manos y pies. Requiere manejo de síntomas y consulta si hay alarma.",boca mano pie;virus;fiebre,si
Salud del bebé,¿Cuándo consultar por otitis o dolor de oído?,"Si hay fiebre, llanto persistente, se toca el oído, secreción o decaimiento. Debe evaluarlo pediatra.",otitis;oído;fiebre,si
Salud del bebé,¿Qué hacer si el bebé tiene flema y hace arcadas al dormir?,"Elevar ligeramente según indicación segura, lavados nasales, observar respiración y consultar si hay dificultad para respirar o se ahoga.",flema;arcadas;gripa,si
Salud del bebé,¿El humidificador ayuda con gripa o congestión?,"Puede ayudar a algunas familias, pero debe limpiarse muy bien para evitar hongos. No reemplaza lavados ni valoración médica si hay alarma.",humidificador;congestión;mocos,si
Vacunas,¿Qué vacunas de meningococo mencionan las mamás?,Se mencionan Bexsero para meningococo B y Menveo para ACYW. Son vacunas diferentes y complementarias; confirmar esquema con pediatra.,meningococo;Bexsero;Menveo,si
Vacunas,¿Las vacunas de meningococo están incluidas en el esquema gratuito?,En el grupo se comenta que muchas veces son particulares y pueden ser costosas. Confirmar disponibilidad y precio con centro de vacunación.,meningococo;vacunas;precio,si
Vacunas,¿Qué hacer después de vacunas si el bebé tiene fiebre?,"Seguir indicación del pediatra, controlar temperatura y observar. Consultar si la fiebre es alta, persistente o el bebé está muy decaído.",vacunas;fiebre;posvacuna,si
Vacunas,¿Vale la pena spa o hidroterapia después de vacunas?,"Algunas familias lo hacen por gusto, pero no es indispensable. Depende del bebé, su estado y recomendación profesional.",vacunas;spa;hidroterapia,si
Embarazo,¿Cuándo consultar por hinchazón en embarazo?,"Si hay hinchazón fuerte, dolor de cabeza, visión borrosa, presión alta, dolor en boca del estómago o malestar raro, mejor consultar de inmediato.",embarazo;hinchazón;preeclampsia,si
Embarazo,¿Qué significa líquido amniótico bajo?,"Debe evaluarlo el médico. Algunas mamás mencionan hidratación, agua de coco o electrolitos, pero el seguimiento debe ser clínico.",embarazo;líquido amniótico;monitoreo,si
Embarazo,¿Qué tips hay para el examen de glucosa?,"Ir con tiempo, llevar algo para comer al terminar, ir acompañada si se puede y distraerse durante la espera.",embarazo;glucosa;O'Sullivan,si
Embarazo,¿Qué pasa si el bebé viene sentado?,"Puede cambiar de posición o mantenerse. El médico definirá si se intenta parto vaginal, maniobras o cesárea según caso.",embarazo;bebé sentado;cesárea,si
Embarazo,¿Qué llevar a la clínica?,"Separar por mamá, bebé y acompañante. Llevar documentos, ropa cómoda, pañales, pañitos, mudas por día, elementos de aseo y lo que pida la clínica.",maleta clínica;parto;cesárea,si
Embarazo,¿Qué hago si siento presión en vejiga al final del embarazo?,"Puede ser por presión del bebé, pero si hay dolor, ardor, sangrado, contracciones o pérdida de líquido, consultar.",embarazo;vejiga;urgencias,si
Parto y cesárea,¿Parto natural o cesárea hace a una mamá mejor?,No. Ninguna vía de parto hace a una mamá más o menos mamá. Lo importante es seguridad de mamá y bebé.,parto;cesárea;maternidad,si
Parto y cesárea,¿Qué es un plan de parto?,"Es un documento donde la mamá expresa preferencias como acompañante, corte tardío de cordón, contacto piel a piel, baño del bebé y manejo del dolor, sujeto a seguridad médica.",plan de parto;parto respetado;clínica,si
Parto y cesárea,¿Puedo llevar uñas pintadas para cesárea?,Depende de la clínica y anestesia. Algunas piden uñas sin esmalte para monitoreo. Confirmar antes con la institución.,cesárea;uñas;clínica,si
Parto y cesárea,¿Un bebé de 3.500 g puede nacer por parto vaginal?,"Puede ser posible, pero depende de muchos factores: mamá, pelvis, posición, evolución y criterio médico. Confirmar con ginecólogo.",parto vaginal;peso bebé;ecografía,si
Parto y cesárea,¿Cuánto dura la hospitalización después de cesárea?,"Depende de la clínica y evolución de mamá y bebé. Muchas experiencias mencionan 1 a 3 días, pero puede variar.",cesárea;hospitalización;clínica,si
Parto y cesárea,¿Cómo es la recuperación de cesárea?,"Varía mucho. Algunas sienten dolor fuerte y otras no tanto. Ayudan analgesia indicada, moverse progresivamente y cuidar la herida.",cesárea;recuperación;cicatriz,si
Parto y cesárea,¿Qué hacer si no respetan el plan de parto?,"Tener acompañante informado, preguntar, dejar preferencias claras y elevar la situación si algo no se siente correcto, siempre priorizando seguridad.",plan de parto;parto respetado;acompañante,si
Trámites y viajes,¿Cómo sacar pasaporte a un bebé?,"Se agenda cita, se lleva registro civil y documentos requeridos. El tiempo y costo varían por ciudad; revisar la página oficial antes de ir.",pasaporte;bebé;registro civil,si
Trámites y viajes,¿El registro civil vence para viajar?,"El registro civil como tal no vence, pero algunas autenticaciones o copias pueden tener vigencia para trámites específicos. Confirmar con entidad o aerolínea.",registro civil;viajes;bebé,si
Trámites y viajes,¿Los bebés pagan en vuelos nacionales?,Depende de aerolínea y condiciones. Algunas cobran tarifa administrativa o impuestos aunque el bebé viaje cargado. Confirmar por canal oficial y guardar soporte.,vuelos;bebé;aerolínea,si
Trámites y viajes,¿Qué llevar para viajar con bebé?,"Pañales, mudas, pañitos, comida/leche, documentos, medicinas autorizadas, manta, juguetes pequeños, bolsas y elementos de higiene.",viajes;bebé;maleta,si
Trámites y viajes,¿Qué coche sirve para viajar?,"Buscar que sea liviano, compacto, fácil de cerrar y si se puede que recline para siestas. Verificar si entra en cabina según aerolínea.",coche;viajes;stroller,si
Trámites y viajes,¿Cómo manejar trámites de visa con bebé?,"Depende del país, estatus de los padres y documentación. Revisar fuentes oficiales o asesoría migratoria para evitar errores.",visa;bebé;trámites,si
Productos recomendados,¿Qué teteros recomiendan cuando el bebé tiene gases?,"En el grupo se mencionan Dr. Brown’s, Pigeon y Avent, pero depende del bebé, flujo y forma de succión.",teteros;gases;Pigeon;Avent,si
Productos recomendados,¿Qué chupo probar si mi bebé no acepta Avent?,"Se mencionan MAM, Nuk y Dr. Brown’s como alternativas. Puede tocar probar varias referencias porque depende totalmente del bebé.",chupo;Avent;MAM;Nuk,si
Productos recomendados,¿Qué extractor recomiendan como principal?,"Spectra azul aparece como muy recomendado por potencia y batería. Momcozy se menciona más como práctico/portátil, no siempre como extractor principal.",extractor;Spectra;Momcozy,si
Productos recomendados,¿Qué crema recomiendan para pañalitis?,"Se mencionan Almipro, Desitin morada, Aquaphor, Acid Mantle, Cicaplast y nistatina con zinc cuando hay indicación.",pañalitis;cremas;Almipro,si
Productos recomendados,¿Qué monitor de bebé recomiendan?,"Se mencionan Nanit, VTech, Hello Baby, Arenti y Eufy. Nanit tiene más funciones, pero puede ser costoso y aumentar ansiedad.",monitor;Nanit;VTech,si
Productos recomendados,¿Qué procesador de comida recomiendan para bebé?,Grownsy Baby Food Maker se menciona mucho porque cocina al vapor y procesa. También aparecen Nutribullet Baby y Baby Bullet.,alimentación;procesador;Grownsy,si
Productos recomendados,¿Qué portabebés recomiendan?,"Se menciona Momcozy, Infantino y Artipoppe. Revisar ergonomía, postura en M, edad/peso y calor.",portabebés;carrier;ergonomía,si
Productos recomendados,¿Qué silla de carro recomiendan?,"Se mencionan Graco, Chicco, Britax, Cybex, Maxi-Cosi, Bugaboo Owl y Nuna. Revisar certificación, instalación y compatibilidad con el carro.",silla de carro;seguridad;Isofix,si
Productos recomendados,¿Dónde comprar pañales Pampers a domicilio?,"En el grupo mencionan Alkosto, Drogas La Rebaja, Carulla, Rappi y Pricesmart domicilio.",Pampers;domicilio;pañales,si
Productos recomendados,¿Qué opción de fruver a domicilio mencionaron?,"Se mencionó Fruver Giwi y contactos compartidos por mamás para frutas, verduras, huevos y queso a domicilio.",fruver;domicilio;Giwi,si
"Piel, baño y cabello",¿Qué shampoo usar si el cabello del bebé está seco?,"Se mencionan Baby Muss, Johnson’s, Babo, Noodle & Boo, Natura y otros. Puede tocar probar según piel/cabello del bebé.",shampoo;cabello;bebé,si
"Piel, baño y cabello",¿Qué marcas de baño/piel recomiendan?,"Mustela, Eucerin Baby, Isdin Baby y Cetaphil aparecen como opciones para piel sensible, pero depende de cada bebé.",piel;baño;Mustela;Eucerin,si
"Piel, baño y cabello",¿Cuándo usar protector solar en bebé?,"Depende de edad y recomendación pediátrica. En menores de 6 meses suele priorizarse sombra, ropa y evitar sol directo.",protector solar;bebé;piel,si
"Piel, baño y cabello",¿Es normal que el cabello del bebé cambie?,"Sí, puede cambiar textura, cantidad y caída con el tiempo. Evitar productos agresivos y observar piel del cuero cabelludo.",cabello;bebé;shampoo,si
Dentición e higiene oral,¿Cuándo iniciar higiene oral del bebé?,"Desde que aparece el primer diente, con cepillo adecuado y crema con flúor según indicación odontopediátrica.",dientes;higiene oral;flúor,si
Dentición e higiene oral,¿Qué cepillos mencionan para bebés?,"Se mencionan Curaprox Baby, Vitis y Oral-B Baby como opciones de cepillo infantil.",cepillo;bebé;dientes,si
Dentición e higiene oral,¿Qué hacer si el bebé está molesto por dientes?,"Ofrecer mordedores seguros, frío moderado y consultar antes de usar geles o medicamentos. Algunas mamás mencionan Camilia.",dentición;dientes;Camilia,si
Dentición e higiene oral,¿Los geles de dentición son seguros?,"Hay que revisar edad, ingredientes y recomendación profesional. No usar productos medicados sin orientación.",dentición;gel;seguridad,si
